A-1	絶好調！あなたの魅力が自然にこぼれて、片想いも実る暗示です。
K-67	優秀な人材に巡り会うチャンス！性格も好相性。金運も大アップ。
L-67	心強いスポンサーが登場の暗示。金策に悩む人もチャンスの日。
A-68	財テクや経済への興味が湧いてきそう。勉強をはじめる好機です。
B-68	収入アップの情報をゲットできるでしょう。あなたの努力次第！
C-68	資産運用について考えるのに良い日。将来のため貯蓄の見直しを。
D-68	自己投資で運気がアップの暗示。自己磨きの為なら大金でもＯＫ。
E-68	お金の運用でイイ情報アリ。株式欄やビジネス雑誌をチェック。
F-68	自己投資にお金を使うと吉。貯金をはたいてでも後悔しないはず。
G-68	収入アップを望んでいる人は、今日がチャンス！オイシイ話あり。
H-68	資産運用を考える最適な日。金融機関の商品にピッタリのものが。
I-68	財テクにツキあり。目的を持って貯蓄すると予想以上の成果が。
J-68	貯金への関心が高まる日。堅実に生活費の見直しをすると吉。
K-68	金融や経済への関心がわいてきそう。身近な金融商品を調べて吉。
L-68	金融商品や利殖に関する情報が集まりそう。自分で調べると吉。
A-69	オイシイ話が転がり込んでくる暗示。ただし、冷静な判断が必要。
B-69	貯金の仕方や使い方の見直しを。有利な貯蓄法が見つかる暗示。
C-69	新聞の経済面を読んでみて。金融情報がスムーズに入ってきそう。
D-69	投資や財テクにピッタリの日。金融ビッグバンに備え勉強しよう。
E-69	仕事に関する出費にツキがある日。書店に立ち寄るとイイかも。
F-69	財テクや貯蓄に対する関心がアップ。投資するなら念入りに調査。
G-69	金融機関の商品を比較検討し無理のない貯蓄を始めるのがベスト。
H-69	オイシイ儲け話あり。ただし、リスクも大きいので情報収集から。
I-69	仕事に関する出費にツキあり。資格取得の為やスーツの新調が吉。
J-69	収入アップを望んでいる人は、短期のアルバイトがラッキー。
K-69	ちょっとした儲け話に縁あり。納得いくまできちんと検討してね。
L-69	セミナーへの参加等、自分磨きにお金を使うと吉。収入アップへ。
A-70	プレゼントが当たったり、美味しいものをおごってもらえそう。
B-70	お金を管理する能力が発揮される運気。堅実な買い物ができそう。
C-70	小さなプレゼントをしてもらえるかも。素直に受け取って吉。
D-70	人からおごってもらったり、貸しが返ってきたりして、ラッキー。
E-70	大きな買い物にツキがあり。品物が格安で手に入るような事も。
F-70	年上の人からおごられ運アリ。パートナーからのプレゼントも。
G-70	友人の紹介で欲しかった物が格安で入りそう。心当たりに連絡を。
H-70	予想以上に交際費がかかりそうな日。でも見返りは期待できそう。
I-70	小さな金運に恵まれそう。お金が返ってきたり懸賞に当選したり。
J-70	知人や家族へのプレゼントにツキがある日。割と安くてイイ物が。
K-70	欲しかったモノが格安で手に入る等、ちょっとしたラッキーあり。
L-70	人脈がお金に結びつく暗示。人や仕事を紹介したり紹介されたり。
A-71	欲しいモノが格安ゲットできそう。ラッキーなバイトの暗示も。
B-71	感謝の言葉は忘れずに。プレゼントやラッキーなことがありそう。
C-71	今日の自己投資は有意義。大金でも、あとで元が取れるでしょう。
D-71	寄付やカンパで他人の為にお金を使うことが財運アップの鍵。
E-71	定期の積み立てがラッキー。ピッタリの貯蓄商品がみつかりそう。
F-71	コンサート等芸術方面にお金を使うとラッキー。精神的豊かさを。
G-71	忘れていたお金が戻ってきたりとチョットいい事が。貯金しよう。
H-71	リーズナブルな買い物にツキが。バーゲン品から掘り出し物アリ。
I-71	レジャーに関する出費にツキあり。格安パックツアーがありそう。
J-71	レジャー費用や旅行代金等、お金を有意義に使ってラッキーな日。
K-71	ツキに恵まれそう。ラッキーな仕事やイイ副業が舞い込みそう。
L-71	予想外のラッキーが！チケット等をプレゼントされることもあり。
A-72	鬼門はお金の貸し借り。わずかな額でもトラブルになりそうです。
B-72	大きな買い物で大失敗するかも。結果的に無駄遣いになりそう。
C-72	衝動買いで大浪費の心配が。少しでも迷ったら買わないで。
D-72	お酒の席でお金のトラブルが。酔っての仕事の話は後悔しそう。
E-72	お金を落としたりのトラブルに見舞われる暗示。行動には要注意。
F-72	お金に対してシビアに。必要経費をケチるとむしろ損する結果に。
G-72	お金をハデに使いそう。買い物やお酒でのストレス解消は危険！
H-72	ギャンブルで大負けしそうな日。財布のひもを固くしめておいて。
I-72	投資の話が舞い込みそう。大金の場合、即断は避けないと大変！
J-72	お金が原因で信用を失う恐れあり。セールスのノルマにはご用心。
K-72	情にからめたお金の貸し借りは、今日の鬼門。トラブルに発展。
L-72	気が大きくなって、大散財しそう。交際費に見栄を張ると後悔が。
A-73	きょうは、自動販売機でちょっとしたラッキーがありそう。
B-73	金運はまずまず。労働以上の報酬に恵まれそうです。
C-73	交際費でマネー運がアップの暗示。今日のお誘いはＯＫしてね。
D-73	宝くじやプレゼントの応募はチャンスかも。金運が舞い込む暗示。
E-73	金融知識や財テク情報に関する事でラッキーが舞い込む暗示。
F-73	堅実な資産運用を始めるラッキーデー。自分で理解する努力を。
G-73	出費が収入につながる暗示。本当に回収できるのか見極めて。
H-73	今日は、太っ腹がラッキーのポイント。お財布に余裕を持たせて。
I-73	自分へのご褒美のつもりでお金を使うと吉。今日は許してあげて。
J-73	ちょっとしたツキに恵まれそう。宝くじや懸賞品、もらい物も。
K-73	五千円を一万円と間違えてお釣りをもらうような事アリ。正直に。
L-73	なかなか上手な買い物ができそう。掘り出し物などで得する事も。
A-74	衝動買いに走ったり、気前良くおごることも。ムダ遣いに注意。
B-74	気持ちが大きくなって散財しそう。財布のヒモをしめること。
C-74	大きい買い物や、分不相応なローンは控えた方が無難。後で大変！
D-74	お金の出入りが激しくなりそう。金銭管理をしっかりと。
E-74	衝動買いしそうなキブン。キャッシュで買える範囲にしよう。
F-74	見栄を張って高額な買い物をするかも。財布のヒモはシッカリと。
G-74	お金に羽が生えたように飛んで行く日。次から次へと財布はカラ。
H-74	かなりの衝動買いをしそう。今日はキャッシュカードを持たない！
I-74	お金の使い方が荒くなりがち。買い物する前にリストアップして。
J-74	株やギャンブルに手を出すと大失敗の暗示！今日のお金は地道に。
K-74	今日はお財布のヒモがゆるみがち。特に見栄の出費には要注意！
L-74	分不相応な高額の買い物をしそう。クレジットカードはＮＧです。
A-75	節約に目覚める暗示。現金の出納だけでも管理しはじめると、吉。
B-75	計画的にお金を使うように！見栄で無計画な借金をする暗示が。
C-75	今日の借金はトラブルの元。どうしてもなら肉親に頼りましょう。
D-75	買い物でストレス解消。せっかくだから欲しかったモノを。
E-75	金銭の出入りを要チェック。けっこうムダな出費がわかりますよ。
F-75	修理代等の不意の出費に悩まされそう。生活費の見直しをして。
G-75	今日はお金の管理がズサン。持ち歩くお金を最低限にとどめる事。
H-75	金銭ピンチの人は、支出の流れをチェック！ムダが省けるはず。
I-75	お金に対する感覚がルーズに。パソコン等で金銭管理をしっかり。
J-75	節約気分が高まりそう。必要性の高い物から計画的に優先順位を。
K-75	お金に無頓着なあなた！ムダ遣いを改めて節約するチャンスです。
L-75	キーワードは、金銭管理。現金の出入りを把握して金運アップ。
A-76	お金やお財布を拾ったら正直に届けること。金運アップの鍵です。
B-76	インターネットやパソコン通信が金運アップのカギ。検索して。
C-76	各種クレジットカードのサービスを良くチェック。お得な事が。
D-76	知り合いのツテで、大幅な値引きや特典、お得な情報があるかも。
E-76	どうしようか迷っていた出費は、きょうが吉日。高額でもＯＫ。
F-76	定期の満期や懸賞が当たったりで思いがけないお金が入りそう。
G-76	結婚祝いなど、おめでたい出費がありそう。気持ちが何より大事。
H-76	サイドビジネスの話アリ。信頼度がイマイチなので冷静な判断を。
I-76	ちょっとしたラッキーが。洋服のポケットや本の間からお金が？
J-76	知人のツテでイイ副業の話。マルチまがいでなければのってＯＫ。
K-76	拾い物に吉縁アリ。届け出る誠意が金運アップにつながりますよ。
L-76	生きたお金の使い方ができそう。迷っている出費は今日なら正解。
A-77	資格商法やマルチ商法に要注意。きょうは断った方が賢明です。
B-77	電化製品やパソコンがクラッシュしたり突然の大出費にご用心。
C-77	相続にからんでトラブルがあるかも。人の裏側を見て不愉快に。
D-77	家計のやりくりで頭がイタイかも。スーパーのチラシをチェック。
E-77	シビアにお金の出入りをチェック。お小遣い帳でもつけてみよう。
F-77	これはお得！な買い物が隣ではもっと安くてガッカリするかも。
G-77	超高額商品に気持ちとお財布がゆるみそう。カード払いは慎重に！
H-77	不必要な物を買い込みそう。安物買いの銭失いにならないよう！
I-77	ムダづかいに気をつけたい日。つまらない買い物をしそうですよ。
J-77	今日は、欲に目がくらんで失敗しそうな暗示。良く考えて行動を。
K-77	マルチ商法にご用心。絶対に儲かるはずのない話に、はまりそう。
L-77	いまひとつツキがありません。出費を控え静かに過ごすのが賢明。
A-78	金銭感覚がとてもシビアになりそう。必要な出費はケチらないで。
B-78	突然の出費？交際費や冠婚葬祭費はケチると評判を落とします。
C-78	浪費に要注意！忙しくても代行サービス等に頼りすぎないよう。
D-78	生活費を切りつめる必要が。気持ちがギスギスしないよう程々に。
E-78	お金に関するトラブルが発生しそう。友人との貸し借りはＮＧ。
F-78	思うようにお金が貯まらずイラつきそう。外食を減らす等節約を。
G-78	お金の出入りが激しい日。金銭出納帳をつけ金銭管理に目覚めて。
H-78	金銭の貸し借りはやめた方が無難。友情にヒビが入る可能性大！
I-78	バーゲン品に飛びつくと失敗しそう。安ければいいワケじゃナシ。
J-78	交際費がかかりすぎてピンチ！割に合わない飲み会は断って正解。
K-78	強烈な倹約の暗示。人間関係にまで悪影響を及ぼさないよう注意。
L-78	冷蔵庫の故障等まとまった金額が急に必要になるアクシデントが。
A-79	きょうは、宝くじや投資に手を出しても無駄になってしまいそう。
B-79	義理や見栄での買い物は大失敗。お金や友達をなくさないように。
C-79	少し深刻ムード。リストラや賃金カットが降りかかってくるかも。
D-79	先物取引やマルチビジネスに要注意。きょうはのらない方が賢明。
E-79	お金に楽天的になりすぎる日。多額の借金は凶。後悔しますよ。
F-79	リスクの大きい投資は、借金地獄の入り口に。要注意！
G-79	不調な一日。一攫千金を夢見てギャンブルに手を出すのは、凶！
H-79	多額のローンは組まないこと。考える以上に返済に苦労しそう。
I-79	見栄から高額商品を購入しそう。販売員にウマく乗せられないで。
J-79	金銭トラブルの暗示。借金の申込みが断れなければあげたものに。
K-79	金運には期待しない方が無難。オイシイ話でも手を出さないこと。
L-79	借金に要注意。返済計画を甘く見積もり過ぎる暗示が出ています。
A-80	つい見栄を張って後悔するようなお金の使い方をしてしまいそう。
B-80	財布の置き忘れや詐欺やスリに注意！気を引き締めて行動を。
C-80	身近な困っている人にお金を貸す場合は、返ってこない覚悟で。
D-80	高額商品を衝動買いの危険な暗示。見栄や雰囲気に流されない事。
E-80	キャッチセールスにハマりやすい暗示。必ず大きな落とし穴アリ。
F-80	無謀な大盤振る舞いをしそうな強烈な暗示。交通費だけは残そう。
G-80	知人から不要な物を買わされそう。いらない物はキッパリとノー！
H-80	交際費の張り込み過ぎで金銭ピンチに。雰囲気に流されないよう。
I-80	お祝いに張り込み過ぎて後悔する事に。人間関係にもヒビが…。
J-80	見栄から無理な出費をしがち。お金だけでは人望は望めません。
K-80	危険な保証人を引き受けたりするかも。慎重の上に慎重を重ねて。
L-80	ワイロなど甘い汁への誘惑がありそう。軽はずみな行動は代償が。
A-81	実力以上の力を発揮できる日です。アイディアにも恵まれるはず。
B-81	予想以上の成果が得られる暗示。リーダー役に徹してみて。
C-81	新プロジェクトのリーダーに大抜擢！というぐらいの大吉です。
D-81	直感を信じての行動は実力以上の成果が期待。トラブルも解決へ。
E-81	実力をアピールするビッグ・チャンス！積極的に行動する程吉。
F-81	快調なペースで仕事が進みそう。転職はベンチャービジネスへ。
G-81	上司からも期待され、良い仕事をしている事を強くアピール！
H-81	温めていた企画は、発表するチャンス！上司からの評価もアップ。
I-81	大吉運です。思ったことは即実行。交渉事もスムーズにいきそう。
J-81	企画力が冴えわたる日。自信を持ってプランを公表し、主導権を。
K-81	ひらめきと実行力に恵まれるので、このチャンスを逃がさないで！
L-81	自分が中心になって仕事を進められそう。周囲からの評価も上々。
A-82	あなたのヤル気を応援してくれる人アリ。転職も吉です。
B-82	やりがいのある仕事にトライするチャンスが。自分を信じて！
C-82	前途洋々。昇進や引き抜きの話も。何事もチャレンジ精神が吉。
D-82	上司や先輩の根回しから大抜擢の可能性大。ガッツの見せ所です。
E-82	あなたの実力が認められ、重要なポストを任されることもアリ。
F-82	クリエイティブな発想で実力を大いに発揮。無理めでも臆せずに。
G-82	評価がアップするなど、ツイてる日。新たな目標を立て頑張ろう。
H-82	今までの努力が実を結ぶとき。周囲から信頼され仕事がスムーズ！
I-82	好調！フットワークを軽くして。引き立ててくれる人物も出現。
J-82	信頼感がアップし人間関係の輪を広げるチャンス！ツテを利用。
K-82	ラッキーな星回り！ヤル気と周囲の期待がピタッとはまりそう。
L-82	転職するのに、好条件の話アリ。高く評価してくれる人も登場。
A-83	先輩や同僚に助けてもらって、仕事がぐんとはかどりそう。
B-83	上司や先輩からアドバイスが。素直にヘルプをお願いしましょう。
C-83	先輩や上司のアドバイスに従うと好成績が。自信を持ってトライ。
D-83	これまでの人間関係が仕事運の支え。いい、ヘッドハントの話が。
E-83	周囲を味方にして仕事運がアップ。同僚や先輩の協力を得よう。
F-83	アフター５は飲みに行くとラッキー。会話から仕事のヒントアリ。
G-83	情報収集にツキあり。パソコン、電話、ＦＡＸなどをフル活用。
H-83	同僚や部下の一言がパワーを！周囲の人間を上手く使ってみよう。
I-83	あなたの良い評判が立つとき。特に同僚や部下の受けがイイかも。
J-83	転職を考えているなら、積極的に友人や知人にアプローチして。
K-83	周囲の手助けがあなたの評価をグーンとアップ！仕事もスムーズ。
L-83	チームワークがカギ。今日は協調路線が吉。信頼関係を見直して。
A-84	才能が評価される日。地道に蓄えてきた知識や技能が開花しそう。
B-84	好条件の転職の動きが。知識や経験が活かせるなら迷わずＯＫ。
C-84	強気の発言がラッキーの鍵。これまでの知識が活かせるでしょう。
D-84	目指している仕事の専門家と出会いのチャンス。有益な情報が。
E-84	知識欲が旺盛になり仕事にも興味あるものにも生かせそう。
F-84	疑問はとことん調査して。自分の足で稼いだ情報は必ずプラスに。
G-84	仕事が順調に進みそう。能率も上がり社内の評価もグンとアップ！
H-84	仕事以外の話がビジネスに結びつく予感。どんどん知識を吸収！
I-84	流行のスポットや雑貨屋に足を運ぶと仕事に関するヒントがあり。
J-84	専門知識が仕事に生かせる日。専門職を目指す人は資格取得を！
K-84	専門的な知識や能力にツキ。得意な事を仕事に生かせるチャンス！
L-84	好奇心を刺激される事アリ。仕事以外のジャンルに目を向けて吉。
A-85	勉強不足や努力不足に気がつく暗示。自分磨きのいいチャンスに。
B-85	仕事の知識を深めるのに最適の日。後々の飛躍に結びつきます。
C-85	その道のプロと知り合える暗示。仕事に好影響をもたらす事に。
D-85	得意分野で認めてもらえる暗示。苦手な上司に自分をアピール。
E-85	資格を取得してライセンスを仕事に生かすことを考えてみては？
F-85	全く違う職業の人とのつきあいが吉。異業種懇談会や講演に参加！
G-85	手持ちの引き出しを増やす事がラッキー。情報はまめにファイル。
H-85	好奇心、向上心が高まる日。専門分野以外に興味を持つとグッド。
I-85	手持ちの札で勝負！専門分野に本腰で取り組むと思わぬ成果が。
J-85	才能や能力を発揮できる幸運日。セールスや接客業が吉。誠実に。
K-85	今日は自己啓発をしている人はラッキー。さぼっている人はＮＧ。
L-85	今の仕事に不満があれば実現に向けて努力！チャレンジ出来る時。
A-86	人間関係に恵まれて、スムーズに仕事が進みそうな一日です。
B-86	家族や友人からグッドアイディアを得られそう。世間話もしてね。
C-86	何事も丁寧に！トラブルが起きても丁寧な対応で道は開けます。
D-86	転職は、次の仕事のいい情報がありそう。後は時期を考えて。
E-86	後輩と行動すると得しそう。新鮮な刺激で頭の活性化になります。
F-86	今の仕事を成功させるには、パートナーとの結束を固めて。
G-86	苦手な同僚や先輩と話をしよう。交友関係を広げると良い影響が。
H-86	後輩の面倒を見るとラッキーな事アリ。良い情報がゲットかも。
I-86	職場で嬉しい事がありそう。励まされたり、手伝ってもらったり。
J-86	周囲の意見が仕事のプラスに。行き詰まった時は迷わず相談して。
K-86	無理なゴリ押しをしなければ、ＯＫ。職場の人間関係を和ませて。
L-86	家族やごく親しい仲間に助けてもらう暗示。素直に弱音を吐こう！
A-87	苦手な上司に誉められたり、トラブルが一気に解決なんてことも。
B-87	やる気をアピールしてステップアップしそう。バリバリ仕事して。
C-87	マイペースでの仕事が、評価・人望ともにウナギ昇りの暗示。
D-87	豊富にアイデアが出そう。思いついたことは書き留めておこう。
E-87	努力次第で仕事がスムーズにいく暗示。交渉ごとも成功しそう。
F-87	チャンスが！名刺交換した人にメールを送ると仕事が広がりそう。
G-87	頭の冴えが抜群で能力以上の仕事ができそう。仕事の悩みも解決。
H-87	ラッキーな情報アリ！同僚との横のつながりを密にしておくと吉。
I-87	仕事で知り合った人に、積極的に自分を売り込むとチャンスが！
J-87	今の仕事にやりがいのある人は、重要なポストへのチャンスが。
K-87	実力以上の大仕事に抜擢されるかも。体当たりでぶつかって！
L-87	実績を積み上げてきた人は、上司から評価してもらえそうな暗示。
A-88	ツイていない一日。小さなミスが多くなるので、慎重を心がけて。
B-88	小さなミスが続発。無理しないで思い切って休息してみたら？
C-88	全部裏目に出てしまいそうな一日。今日は静観するのが一番。
D-88	根回しや周囲への気配りで運もアップ。スタンドプレーは厳禁。
E-88	仕事がつまらないと感じるかも。努力で功績が認められるはず。
F-88	小さな失敗が多く気が滅入りがちに。マイペースで仕事を進めて。
G-88	息抜きのつもりが、ズルズル仕事をサボる結果に。ミスに注意！
H-88	思いつきの行動はとんでもない失敗に。スケジュールを厳守！
I-88	アクシデントに見まわれやすい日。臨機応変な対処が必要に！
J-88	能力以上の事を引き受けると大変な事に。ノーと言う勇気も必要。
K-88	今日は少し不安定。ケアレスミスを連発しそう。ゆっくり丁寧に！
L-88	着実に日々の仕事をこなす事が大事。見ていてくれる人がいます。
A-89	信頼できる人から仕事の紹介がありそう。転職のチャンスです。
B-89	趣味の分野で知的好奇心を刺激すると吉。仕事に返ってきます。
C-89	周囲のバックアップでいつもより自分の考えを伝えられそう。
D-89	評価が上がる暗示。有能さよりも普段の人徳がキーポイント。
E-89	キャリアプランの検討が吉。１０年後の自分の位置を考えて。
F-89	仕事に行き詰まりを感じたら高校生向けの雑誌に目を通す等も吉。
G-89	無関心だったジャンルに好奇心が。ユニークな発想がラッキーを。
H-89	好奇心がムクムクと。日頃、縁のないジャンルにラッキーが。
I-89	スペシャリストとして仕事をしたい人にはラッキーな一日。
J-89	あなたのノウハウが評価される暗示。オリジナリティーが幸運を！
K-89	転職に関してラッキーな話がありそう。真剣に検討する価値アリ。
L-89	仕事への欲が出そう。具体的なキャリアプランを立ててみては？
A-90	張りきりすぎて周囲との摩擦が起こりそうです。聞く耳を大切に。
B-90	ときには曖昧さや妥協も大切。白黒ハッキリさせすぎは禁物。
C-90	今日は手も気も抜かない事。仕事中の私語や私用電話に注意。
D-90	小さなミスで、ライバルからバッシングを受けそう。無視が一番。
E-90	空回りしている自分を振り返ってみては？ステップアップへと。
F-90	初めての事は慎重に。カンよりもマーケティングを行ってから。
G-90	手を広げたくなっても上司の反対意見が…。プランを練り直して。
H-90	上司と衝突しそう。きちんとした裏づけの、説得する材料も必要。
I-90	早トチリから失敗を招く恐れあり。電話での対応に特に注意を！
J-90	仕事上のライバルの出現の暗示。気を引き締めて行動しましょう。
K-90	新機軸を打ち出すのに適した日。チームワークを大切にして吉。
L-90	衝突が多い暗示。自分の意見にこだわらず一歩引くゆとりが必要。
A-91	調整や下準備など、面倒なわりに地味な仕事でウンザリしそう。
B-91	後輩のミスから管理能力や度量が試されるかも。誠実な態度で。
C-91	苦手な仕事も試練だと思って逃げないでチャレンジしてみて。
D-91	意識が薄れ仕事がダラダラしそう。短時間でサッサと切り上げて。
E-91	思い通りにならずイライラが。書類の記入ミスには特に慎重に。
F-91	他人のミスから、とばっちりをくうハメに。広い心で受け止めて。
G-91	仕事が思うようにはかどらず、ウンザリ。面倒でも手抜きは禁物！
H-91	ノビノビの仕事に直面する羽目に。落ち着いて処理すればＯＫ。
I-91	スケジュール管理がズサンに。電子手帳をフルに活用してみたら。
J-91	事務処理を面倒がると、後で痛い目に。経費の請求書は大丈夫？
K-91	パッとしない日。他人の尻拭いや単純作業で、ゲッソリするかも。
L-91	面倒な後始末などで、忙殺されそう。ポジティブ発想を心がけて。
A-92	憧れている仕事に小さなツテができそう。もう少し頑張っては？
B-92	仕事以外の人間関係を大切にしたい日です。ヒントが得られそう。
C-92	あなたの地道な努力に同僚や上司が気がついてくれそうですよ。
D-92	組織の枠を越えて人脈を広げる努力を。仕事に磨きがかかります。
E-92	自分より若い世代の人たちに関心を向けてみて。ヒントアリ。
F-92	まずまず好調。周囲との強調がラッキーポイント。和を心がけて。
G-92	後輩や大変そうな同僚にヘルプの手を。きっと大きなプラスへと！
H-92	日頃の人脈が生きて、仕事がスムーズに。人間関係の見直しを。
I-92	性格の良さがラッキーを。見えない気配りを評価する人はいます。
J-92	今日の仕事は、チームワークが大事。前向きな雰囲気作りで吉。
K-92	本当にやりたい仕事が別にある人は、飛躍の準備を始めてみては？
L-92	趣味や遊び仲間が仕事に吉運を。柔軟な発想が支えてくれます。
A-93	空回りの暗示です。自己主張ばかりでは仕事はできませんよ。
B-93	苦しい立場に立たされそう。正論は必ずしも良案とは限りません。
C-93	読みがはずれて失敗するかも。判断は慎重に時間をかけて。
D-93	今日はヤル気満々。張り切りすぎるとトラブルメーカーの心配が。
E-93	イライラして精神的に不安定な一日になりそう。気をつけて！
F-93	きょうのアドバイスは、緻密。きちんとデータを積み上げること。
G-93	気乗りしなくてグズグズしそう。今日のサボりはツケになる覚悟！
H-93	取引先の担当者と少し険悪ムードに。ムカッときたらスマイル。
I-93	うっかりミスを連発の心配アリ。嫌みを言われてもしっかり反省。
J-93	気がゆるみそう。その間誰かにポジションをさらわれるかも注意！
K-93	協調性が要求される暗示。カリスマ的な方法はＮＧ。根回しを！
L-93	一匹狼的な方法ではトラブルメーカーに。大人の気配りが必要。
A-94	トラブルの暗示。でも、あなたにとって必要な課題のようです。
B-94	大事な場面で大失敗をするかも。挽回のチャンスあり。冷静に！
C-94	資料不足や書類の準備、管理に要注意。トラブルが起きそう。
D-94	職場の人間関係に嫌気がさし、辞めたくなるかも。冷静に行動。
E-94	納得のいかないことで逃げ出したくなるかも。困難を避けないで。
F-94	重大な仕事や上司の期待で強いプレッシャーを。前向きに行こう。
G-94	予定のつめ込みすぎは計画倒れに。出来ることから確実に進めて。
H-94	うっかりミスに注意！大切な書類の扱いには、気を引き締めて。
I-94	能力以上の仕事を任され気が重そう。頑張らないと評価ダウンに！
J-94	雑用等で、仕事が思うようにはかどらない日。ふてくされないで。
K-94	今まで他人に押しつけてきた仕事が倍になって返ってきそう。
L-94	調整役として気苦労の多い日。手を抜かないで。必ず報われます。
A-95	ゴリ押しは禁物。どんな良案も根回し不足で失敗しかねませんよ。
B-95	意地の張り合いで上司と衝突するかも。無謀なケンカは損。
C-95	衝動的な転職は後悔しそう。成果が認められなくてもよく考えて。
D-95	仕事関係者との恋愛は要注意。仕事を失うかも。慎重に行動を。
E-95	意見の対立で、孤独感を味わいそう。的確な状況判断を心がけて。
F-95	ライバルに出し抜かれそう。冷静に行動しピンチを乗り越えよう。
G-95	突然のトラブルやミスに戸惑う暗示。仕事の手順は変更しないで。
H-95	自分の意見に固執し過ぎると対立しそう。直訴は、日を改めて。
I-95	自分本位な行動で、職場の意志疎通を大切にしないと四面楚歌に。
J-95	ビジネスマナーが重要！上司や取引先の対応にはくれぐれも注意。
K-95	自分勝手な思いこみで大失敗しそうな暗示。諸連絡は綿密に！
L-95	意見が真っ向から対立して緊張感の高い日。ゴリ押しすると失敗。
A-96	大きな影響力をもつ人物の暗示。あなたの明暗はその人次第。
B-96	パートナーや取引先によって状況が一転しそう。振り回されるかも。
C-96	会社に疑問を感じて辛くなりそう。率直に不満をぶつけてみて。
D-96	トラブル発生で、不本意ながら責任をかぶりそう。潔くいこう。
E-96	何気ない一言から大きなトラブルに。言葉づかいを慎重に！
F-96	誤解から人間関係に亀裂が。協力的な意思のある事を伝えて。
G-96	上司や先輩と対立しがち。一歩引いた方が賢明。逆転有利に！
H-96	頼もしいビジネス・パートナーが出現しそう。相手をよく観察。
I-96	交渉事に手間取りそう。相手に主導権をあずけた方がスムーズ。
J-96	転職したい気持ちが高まる日。でも、時期を待った方が良さそう。
K-96	ヤリ手のパートナーが登場かも。学べる所を吸収するつもりで。
L-96	大勝負に出たくなる暗示。勝負の行方はパートナー次第で決まり。
A-97	気力体力ともに絶好調に。不調だったの人も昇り坂に向かうはず。
B-97	体調は絶好調！多少ムリをしても平気。向かうところ敵ナシ。
C-97	心身ともに活力が満ち溢れ、パワフルに過ごせそう。
D-97	気力、体力ともに充実した一日。残業や夜遊びも気力でＯＫ。
E-97	絶好調！ハードワークもバリバリ。ここ一番での頑張りがきく日。
F-97	体調は万全。元気一杯の日。アフター５はゴルフやテニスでも？
G-97	健康回復のチャンス！今日から始めた健康法はきっと効果アリ！
H-97	今までの不調も一気に好転！今日からジョギングを始めると吉。
I-97	スタミナもありイキイキ！徹夜仕事もＯＫ。新しいスポーツも吉。
J-97	体調は万全。不調だった人も元気を回復。食事もおいしいはず。
K-97	絶好調！気力体力ともに充実。多少の無理も難なくクリアしそう。
L-97	体も心も元気でハツラツとした一日。ハードな仕事もテキパキと。
A-98	元気がわいてくるゴキゲンな一日。美味しいものを食べると、吉。
B-98	スポーツで運気アップ。日頃運動をしない人は体を動かして大吉。
C-98	パワーがみなぎり、身体が軽い感じ。仕事や予定は今日のうちに。
D-98	身体の回復力が抜群。ムリをしても平気。仕事も遊びもバリバリ。
E-98	体力に自信を持てるとき。健康増進の秘訣はよく食べよく動く事。
F-98	心身ともにスタミナモリモリ。少々ハードでもビクともしません。
G-98	少しハードなスポーツにツキあり。心拍数を上げてより健康的に。
H-98	意欲的に取り組める好調日。アフター５は同僚と楽しく飲もう！
I-98	食欲旺盛でパワフルに。ストレスは仲間と飲みに行って解消！
J-98	今日からのスポーツがラッキーを。スイミングやジムはいかが？
K-98	体が軽くて動きが機敏になりそう。ご機嫌な一日を過ごしてね。
L-98	体力充実の一日。カゼ気味でも適度な運動とおいしい食事でＯＫ。
A-99	ウキウキ過ごせる日。ヘルシーな食事や軽いスポーツが、なお吉。
B-99	食欲旺盛。食べたいだけ食べて、充実した一日を楽しんで。
C-99	体調はかなり良好。スポーツで汗を流すと充実したラッキーデー。
D-99	気分爽快。ヘルシーな食事や軽いスポーツでさらに体調もアップ。
E-99	心身ともに良好！何事も意欲的に。ウェイトトレーニングが吉。
F-99	何事もポジティブに考えられる日。悩みもスッキリと解消。
G-99	ダイエットを始めて吉。自分に合う方法を発見でき長続きしそう。
H-99	心身ともに好調な日。少々食べ過ぎたらエクササイズでフォロー。
I-99	好調。体力にも自信が持てます。健康に良い事を試してみて吉。
J-99	食欲が旺盛で元気。体重が気になる人は、薬膳料理や和食中心に。
K-99	ストレスに負けない体力に恵まれそう。スポーツでスッキリと。
L-99	体に勢いあり。仕事も遊びも欲張ってこなし、更に階段を使おう。
A-100	食欲モリモリ。美味しい食事が身体と心を整えてくれる暗示です。
B-100	軽い運動を始めるのにピッタリの日。今日からなら長続きしそう。
C-100	何でも美味しく、食欲モリモリ。ただ暴飲暴食には注意。
D-100	食事や健康な生活習慣について興味が。本屋さんをのぞいてみて。
E-100	体調はまあまあでもイライラしそう。ぬるいお風呂にゆっくりと。
F-100	特に問題のない日。肩こりや頭痛にはマッサージサロンへ行こう。
G-100	体にいい食事やエクササイズを実行すると思わぬ効果が期待大。
H-100	ウェイトダウンなら、食事の量を減らすより内容の見直しをして。
I-100	まずまず順調。体力をつけたい人は早足で歩くように心がけて。
J-100	好調です。運動不足が気になる人は、腹筋運動やなわとびをして。
